Channel,Recipient,Title,TypeOfSupport,FinancialInstrument,Sector,Ressort,Jahr,Klimafinanzierung in USD,Region,Kontinent
bilateral,Africa na,adaptation to climate change in sub-Saharan African humanitarian situations,adaptation,Grant,Humanitarian Aid (720),BMU,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,Climate-resilient site network in the African-Eurasian flyway,adaptation,Grant,Multisector (410),BMU,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,Using scientific information databases to support national adaptation plan processes in sub-Saharan Africa,adaptation,Grant,Multisector (410),BMU,2021,2540000.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,Transboundary Biosphere Reserve Mono Delta,cross-cutting,Grant,Multisector (410),BMU,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,"The role of climate change in security perceptions, conceptions and practice of UNSC member states",cross-cutting,Grant,Multisector (410),AA,2021,93000.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,Strengthening the capacity of the African Group of Negotiators on Climate Change (AGN) to represent member states in the climate change negotiations and inform the decisions of the African Ministerial Conference on the Environment (AMCEN) ,cross-cutting,Grant,Multisector (410),BMU,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,Large-scale Forest Landscape Restoration in Africa,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMU,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,Assessment and prevention of climate-related security risks in the Horn of Africa,adaptation,Grant,Multisector (410),AA,2021,500000.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Africa na,Large-scale Forest Landscape Restoration in Africa,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMU,2021,22990000.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,"Africa, regional",Cooperation Regionale pour une Gestion Durable des Ressourcen en Eau au Maghreb (CREM),adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Afrika,Afrika
