index;Channel;Recipient;Title;FinancialInstrument;TypeOfSupport;Sector;GrantEquivalent;SubSector;AdditionalInformation;Year;Klimafinanzierung;Haushalt;Ressort;Recipient Deutsch;Region;Kontinent;CONTINENT;ISOCode
0;Bilateral;Africa, regional;adaptation to climate change in sub-Saharan African humanitarian situations;Zuschuss;adaptation;Soforthilfe und entsprechende Dienstleistungen;0.0;Relief co-ordination and support services (72050);BMU (UN World Food Progrmme (WFP)), principal objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
1;Bilateral;Africa, regional;Climate-resilient site network in the African-Eurasian flyway;Zuschuss;adaptation;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU (Wetlands International (WI)), principal objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
2;Bilateral;Africa, regional;Using scientific information databases to support national adaptation plan processes in sub-Saharan Africa;Zuschuss;adaptation;Umweltschutz allgemein;0.0;Environmental policy and administrative management (41010);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), principal objective;2021;2540000.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
3;Bilateral;Africa, regional;Transboundary Biosphere Reserve Mono Delta;Zuschuss;cross-cutting;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU, program financed by the 'German Energy and Climate Fund'/ 'International Climate and Environmental Protection' (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), significant objective;2021;-2240.32;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
4;Bilateral;Africa, regional;The role of climate change in security perceptions, conceptions and practice of UNSC member states;Zuschuss;cross-cutting;Umweltschutz allgemein;0.0;Environmental policy and administrative management (41010);AA (not assignable), significant objective;2021;93000.0;Haushaltsmittel;AA;Afrika, regional;Afrika;Afrika;Africa;
5;Bilateral;Africa, regional;Strengthening the capacity of the African Group of Negotiators on Climate Change (AGN) to represent member states in the climate change negotiations and inform the decisions of the African Ministerial Conference on the Environment (AMCEN) ;Zuschuss;cross-cutting;Umweltschutz allgemein;0.0;Environmental policy and administrative management (41010);BMU (United Nations Environment Programme (UNEP)), significant objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
6;Bilateral;Africa, regional;Large-scale Forest Landscape Restoration in Africa;Zuschuss;cross-cutting;Landwirtschaft, Forstwirtschaft und Fischereiwesen;0.0;Forestry development (31220);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), significant objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
7;Bilateral;Africa, regional;Assessment and prevention of climate-related security risks in the Horn of Africa;Zuschuss;adaptation;Umweltschutz allgemein;0.0;Environmental policy and administrative management (41010);AA (United Nations Environment Programme (UNEP)), principal objective;2021;500000.0;Haushaltsmittel;AA;Afrika, regional;Afrika;Afrika;Africa;
8;Bilateral;Africa, regional;Large-scale Forest Landscape Restoration in Africa;Zuschuss;cross-cutting;Landwirtschaft, Forstwirtschaft und Fischereiwesen;0.0;Forestry development (31220);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), significant objective;2021;22990000.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
9;Bilateral;Africa, regional;Cooperation Regionale pour une Gestion Durable des Ressourcen en Eau au Maghreb (CREM);Zuschuss;adaptation;Wasser und Abwasser/Abfallentsorgung;0.0;Water sector policy and administrative management (14010);BMZ (Bundesanstalt für Geowissenschaften und Rohstoffe (BGR)), significant objective, 2013.2289.0;2021;0.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
10;Bilateral;Africa, regional;Biodiversity conservation and utilisation of ecosystem services in wetlands of transboundary significance in the Nile Basin;Zuschuss;cross-cutting;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), significant objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
11;Bilateral;Africa, regional;Advice to the Cuvelai Watercourse Commission in Groundwatermanagement;Zuschuss;adaptation;Wasser und Abwasser/Abfallentsorgung;0.0;Water resources conservation (including data collection) (14015), Water sector policy and administrative management (14010) ;BMZ (Bundesanstalt für Geowissenschaften und Rohstoffe (BGR)), significant objective, 2020.2246.5;2021;1500000.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
12;Bilateral;Africa, regional;LEAP - Locally Empowered Areas of Protection in the Western Indian Ocean;Zuschuss;adaptation;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU (International Union for Conservation of Nature (IUCN) ), principal objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
13;Bilateral;Africa, regional;Bioinnovation Africa for equitable benefit sharing;Zuschuss;adaptation;Umweltschutz allgemein;0.0;Biodiversity (41030);BMZ (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), significant objective, 2018.2235.2;2021;0.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
14;Bilateral;Africa, regional;Conservation and Sustainable Use of the Benguela Current Large Marine Ecosystem ;Zuschuss;cross-cutting;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), significant objective;2021;1700000.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
15;Bilateral;Africa, regional;Social-ecological transformations combined with démocratisation from the left in Africa;Zuschuss;adaptation;Staat und Zivilgesellschaft;0.0;Democratic participation and civil society (15150);BMZ (Rosa-Luxemburg-Stiftung e.V.), significant objective, 2019.2829.0;2021;0.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
16;Bilateral;Africa, regional;Conservation and Sustainable Use of the Benguela Current Large Marine Ecosystem;Zuschuss;mitigation;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), principal objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
17;Bilateral;Africa, regional;Strengthening food security and reslience of small-scale farmer families in rural Africa;Zuschuss;adaptation;Landwirtschaft, Forstwirtschaft und Fischereiwesen;0.0;Agricultural development (31120);BMZ (Katholische Zentralstelle für Entwicklungshilfe e.V. (KZE)), principal objective, 2016.0995.7;2021;0.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
18;Bilateral;Africa, regional;Mami Wata – Enhancing Marina Management in West Africa through Training and Application;Zuschuss;cross-cutting;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU (GRID-Arendal), significant objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
19;Bilateral;Africa, regional;Promotion of the offer of loans secured against natural disasters by BOAD in West Africa;Zuschuss;adaptation;Finanzwesen;0.0;Formal sector financial intermediaries (24030);BMZ (Kreditanstalt für Wiederaufbau (KfW)), principal objective, 2018.6887.6;2021;0.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
20;Bilateral;Africa, regional;Clean captive installations for industrial clients in Sub-Sahara Africa;Zuschuss;mitigation;Energieerzeugung, -Verteilung und -Effizienz;0.0;Energy generation, renewable sources - multiple technologies (23210);BMU (United Nations Environment Programme (UNEP)), principal objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
21;Bilateral;Africa, regional;Regional cooperation in the water sector (Maghreb) - BGR;Zuschuss;adaptation;Wasser und Abwasser/Abfallentsorgung;0.0;Water sector policy and administrative management (14010), Water resources conservation (including data collection) (14015) ;BMZ (Bundesanstalt für Geowissenschaften und Rohstoffe (BGR)), significant objective, 2017.2213.1;2021;500000.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
22;Bilateral;Africa, regional;Solar Chill: Deploying Solar-Powered Environmentally Sound Freezers and Refrigerators in Off-Grid Areas ;Zuschuss;mitigation;Umweltschutz allgemein;0.0;Environmental policy and administrative management (41010);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), principal objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
23;Bilateral;Africa, regional;Competitive African Rice Initiative II;Zuschuss;adaptation;Landwirtschaft, Forstwirtschaft und Fischereiwesen;0.0;Food crop production (31161);BMZ (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), significant objective, 2017.2115.8;2021;500000.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
24;Bilateral;Africa, regional;Strengthening the blue economy of the Western Indian Ocean ;Zuschuss;cross-cutting;Umweltschutz allgemein;0.0;Biodiversity (41030);BMU (The Nature Conservancy (TNC) ), significant objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
25;Bilateral;Africa, regional;Sustainable development of forestry in the border region of Niger-Burkina Faso;Zuschuss;adaptation;Landwirtschaft, Forstwirtschaft und Fischereiwesen;0.0;Forestry development (31220);BMZ (Katholische Zentralstelle für Entwicklungshilfe e.V. (KZE)), significant objective, 2015.3901.4;2021;0.0;Haushaltsmittel;BMZ;Afrika, regional;Afrika;Afrika;Africa;
26;Bilateral;Africa, regional;Green Cooling Initiative II;Zuschuss;mitigation;Umweltschutz allgemein;0.0;Environmental policy and administrative management (41010);BMU (Deutsche Gesellschaft für internationale Zusammenarbeit GmbH (GIZ)), principal objective;2021;0.0;Haushaltsmittel;BMUV;Afrika, regional;Afrika;Afrika;Africa;
